ID,性別,世代,キャンペーン反応フラグ,購入金額_201304,購入金額_201404,キャンペーン前M,キャラクター商品M,生活用品M,文具M,娯楽商品M,本類M,おにぎりM,スイーツM,パンM,ファストフードM,飲料M,お惣菜M,お弁当M,キャンペーン前R,キャラクター商品R,生活用品R,文具R,娯楽商品R,本類R,おにぎりR,スイーツR,パンR,ファストフードR,飲料R,お惣菜R,お弁当R
348,女,30代,1,2170,1940,8550,1370,0,0,0,200,1100,1630,750,1460,2200,0,890,2,2,NA,NA,NA,215,3,71,2,285,2,NA,119
349,女,30代,1,1790,3110,39340,4310,0,300,0,7300,4060,4510,3580,2800,11860,500,3600,1,18,NA,288,NA,37,19,5,16,27,1,223,1
350,女,30代,1,780,1370,23910,5220,0,0,0,780,1760,2060,5540,800,10770,0,1590,1,2,NA,NA,NA,1,16,106,2,13,2,NA,59
351,男,40代,0,510,1130,17690,2330,0,100,0,380,1480,260,1970,1300,6420,250,4280,2,32,NA,242,NA,150,54,126,2,111,32,301,21
352,男,20代,1,3300,6470,47670,2900,1200,400,0,4860,4300,1980,5890,2220,16850,200,6380,1,1,150,104,NA,17,2,62,1,13,1,159,39
353,男,10代以下,1,0,2630,25260,3840,600,0,1000,500,2250,720,5730,660,8540,250,3590,10,10,268,NA,345,203,17,71,10,59,13,340,13
354,女,40代,1,630,2610,18750,1210,0,0,5000,0,670,880,1520,320,7780,400,1380,12,12,NA,NA,125,NA,36,121,12,32,36,241,40
355,男,70代以上,1,170,700,11660,1480,0,160,0,600,1170,1620,1380,200,5010,0,1100,17,17,NA,312,NA,32,17,107,32,101,24,NA,72
356,女,30代,1,320,1960,10510,1260,0,0,0,600,1150,1050,2480,460,3470,750,0,23,25,NA,NA,NA,159,44,23,25,64,28,24,NA
357,男,20代,1,4210,4300,62430,3990,3550,300,13000,6100,4490,2690,8330,3200,12190,1150,5200,2,14,15,241,220,55,30,30,5,39,2,28,2
358,男,60代,0,110,150,12230,340,0,0,7000,0,2030,120,580,0,2000,0,400,30,118,NA,NA,164,NA,104,118,30,NA,30,NA,66
359,女,60代,1,1820,1280,38520,5370,200,0,15000,1900,3190,3100,4620,1300,4330,0,3190,6,8,216,NA,352,81,6,108,8,60,6,NA,8
360,男,60代,1,330,1220,12570,710,3950,0,0,1400,1260,450,1540,860,2180,0,690,16,26,187,NA,NA,77,25,106,26,16,16,NA,272
361,女,20代,1,2630,6810,48770,3280,1300,120,5000,2800,5860,2090,3770,1680,11010,2210,10690,2,14,124,57,285,28,2,74,23,25,18,113,33
362,男,30代,1,840,4990,52470,7730,550,220,0,5780,6320,4430,9630,1080,20160,0,2380,3,5,250,235,NA,22,7,23,3,61,5,NA,20
363,男,60代,0,1230,1610,14080,1270,0,0,5000,200,1310,300,1530,520,3890,0,600,1,6,NA,NA,275,266,6,206,55,56,1,NA,325
364,女,70代以上,0,0,130,10390,2110,0,0,0,1300,490,1770,2580,120,3100,430,600,2,3,NA,NA,NA,2,39,65,3,353,3,198,49
365,女,10代以下,1,1980,4260,35030,6360,1200,0,0,2100,4820,1060,7560,2780,8990,630,3890,4,7,285,NA,NA,223,11,203,7,4,7,219,19
366,男,30代,1,1890,3500,40840,1660,3720,0,0,12300,4780,1380,3330,1000,12300,500,690,10,10,63,NA,NA,116,17,119,10,20,39,268,249
367,女,70代以上,1,3590,6510,23330,4320,0,110,0,900,2460,2160,3230,1960,8600,790,2390,9,9,NA,148,NA,260,19,12,9,32,9,19,46
368,男,70代以上,0,1250,4920,23600,4220,800,0,3000,1880,2710,450,3950,1040,6090,0,2770,13,13,69,NA,364,68,47,309,13,60,13,NA,33
369,男,70代以上,1,5650,3350,49315,5210,0,465,0,4200,5600,5370,6480,920,16800,3040,2690,2,2,NA,4,NA,18,18,4,2,62,2,41,13
370,男,40代,1,2160,1190,21280,3330,0,300,0,2400,3160,1600,4730,680,5190,1000,1000,1,1,NA,239,NA,112,1,122,1,27,1,214,188
371,女,50代,1,8240,7390,62420,5370,3520,0,2500,6600,5730,4920,6910,1620,18280,1400,7990,4,30,103,NA,20,180,6,42,9,4,7,34,54
372,男,30代,1,3040,3790,55610,6810,0,110,10000,3500,3600,5220,5120,4560,18080,500,2080,5,15,NA,338,350,41,6,64,21,42,5,137,14
373,男,30代,1,2880,4260,38965,6970,2000,475,0,1800,6360,3630,6780,2100,12570,0,1990,1,1,66,4,NA,141,1,1,1,18,1,NA,51
374,男,40代,1,4760,5180,50800,3940,1600,450,4000,2080,4600,3980,8000,760,17680,0,4880,1,1,3,45,28,9,1,67,1,46,9,NA,18
375,男,50代,1,660,5690,54110,4700,3400,0,6000,2700,3690,3940,9120,2660,15030,450,5690,3,3,10,NA,92,61,6,49,3,11,6,89,52
376,男,60代,1,4340,2380,32485,4820,1120,535,5000,3400,1780,870,6940,1700,7520,0,2400,7,12,108,12,131,53,7,100,7,16,12,NA,310
377,男,50代,1,4610,3645,70635,5260,2200,165,0,17480,6130,3290,10090,2200,24010,0,2090,1,9,186,119,NA,1,1,2,11,42,5,NA,33
378,女,30代,1,4410,2980,33370,3840,470,0,0,1300,5110,3100,5500,1420,8250,4700,1990,3,3,308,NA,NA,233,3,41,3,6,5,56,164
379,男,20代,0,1350,1180,18920,2210,1000,0,2500,2600,1070,610,2710,620,6220,0,1000,2,5,283,NA,106,34,16,148,5,82,54,NA,2
380,男,60代,1,4190,3550,42575,5500,0,355,0,6260,4650,1680,7350,1800,13110,250,2760,4,11,NA,194,NA,48,4,60,11,90,11,220,45
381,女,10代以下,0,1090,1300,10855,2250,0,55,0,580,1570,1160,1740,220,2640,430,1190,2,7,NA,109,NA,162,2,2,7,202,2,226,231
382,男,60代,1,6020,6430,45550,3750,1150,0,0,3280,4920,5000,5950,2120,18300,0,3200,2,6,153,NA,NA,6,5,48,6,42,2,NA,13
383,男,20代,1,150,1940,9070,1900,0,100,0,400,920,150,1880,340,3490,0,1500,9,9,NA,290,NA,67,9,157,9,13,29,NA,179
384,女,60代,1,4040,8950,57500,6010,2200,220,0,3880,6190,7270,8970,1980,15870,2100,5180,3,4,56,49,NA,31,3,3,3,42,3,168,14
385,女,50代,1,4745,6000,51595,6490,0,275,0,1380,6000,3140,6710,3400,20970,2000,5180,1,6,NA,192,NA,134,1,39,4,9,1,209,12
386,男,40代,0,250,4200,7150,690,3540,0,0,200,320,0,510,120,2240,0,90,25,25,27,NA,NA,230,75,NA,25,125,43,NA,180
387,女,30代,1,3200,5840,64380,6290,650,100,4000,3400,8570,5550,5820,1200,24460,1140,4570,1,1,143,138,20,17,9,26,1,57,2,29,57
388,男,50代,0,420,1710,10340,1240,350,0,1000,0,710,250,1320,420,4690,180,780,11,33,247,NA,144,NA,11,85,38,76,33,47,206
389,男,30代,1,3010,2950,30770,5620,0,710,0,2380,4270,2390,5340,1380,11430,250,1200,6,18,NA,135,NA,6,6,25,21,42,6,290,205
390,男,40代,1,150,670,16230,2790,0,0,0,200,940,2540,3350,920,3430,0,3600,5,11,NA,NA,NA,345,33,11,5,19,7,NA,14
391,女,40代,1,1040,990,14590,1550,0,0,0,900,2530,2890,2090,540,3810,180,900,5,5,NA,NA,NA,241,5,5,14,95,26,65,37
392,女,60代,1,220,0,3910,910,0,0,0,0,830,250,900,0,1930,0,0,6,55,NA,NA,NA,NA,49,174,172,NA,6,NA,NA
393,女,30代,1,6490,5640,45230,4090,0,150,0,0,4370,4230,7490,1380,18670,830,5600,1,6,NA,182,NA,NA,16,1,6,13,6,109,10
394,男,70代以上,1,7360,6900,41455,5180,200,355,1000,1900,4660,1870,9620,1040,14870,700,3590,3,3,165,17,318,75,21,25,26,36,21,29,24
395,男,60代,1,200,1150,11135,1970,0,1055,0,0,2510,1020,1060,860,3140,430,600,10,10,NA,32,NA,NA,27,110,10,14,10,162,226
396,男,20代,1,3450,5520,57560,6770,14560,0,0,4500,4760,3710,6490,1760,16100,750,3240,2,2,20,NA,NA,44,2,104,2,17,2,95,6
397,女,30代,0,1770,1280,19660,2980,0,0,0,800,4820,740,2830,720,6560,250,2060,3,6,NA,NA,NA,115,6,15,15,192,3,320,7
398,男,70代以上,1,4185,2910,39760,3300,0,160,5000,6080,5500,3340,4490,2260,10000,450,1770,1,7,NA,258,283,26,7,88,22,1,11,216,13
399,女,60代,1,4620,10420,42670,6760,350,620,0,3860,4130,5970,9390,2400,10640,450,3190,3,3,97,47,NA,141,9,9,3,12,3,164,55
400,女,70代以上,1,2220,5180,55150,5930,200,710,6000,4600,5310,5320,8320,1800,16260,900,2790,4,4,333,10,74,4,4,45,11,7,4,126,14
401,男,20代,1,120,1340,11625,1880,1120,55,0,600,740,930,1910,920,4200,430,300,1,1,26,13,NA,1,1,83,10,24,4,160,168
402,男,50代,0,55,560,4045,120,0,55,0,180,360,280,240,300,1620,0,400,14,203,NA,330,NA,161,198,187,150,105,14,NA,340
403,男,60代,1,160,140,3400,460,0,0,0,0,560,1900,340,0,440,0,0,14,15,NA,NA,NA,NA,15,14,241,NA,15,NA,NA
404,女,70代以上,0,460,460,5700,770,120,0,0,500,740,980,370,300,1820,0,490,9,16,261,NA,NA,47,16,27,79,72,9,NA,9
405,女,70代以上,1,550,2250,13450,250,720,0,0,1380,1200,2350,1790,1340,4000,0,90,10,19,293,NA,NA,288,52,106,19,71,10,NA,309
406,男,50代,1,480,1040,15480,850,200,0,0,1200,690,440,2420,300,7840,200,690,4,41,17,NA,NA,359,128,96,4,171,4,120,203
407,男,60代,1,1140,330,12220,2740,2000,0,0,500,1180,250,3370,700,3320,200,0,2,15,31,NA,NA,262,2,76,15,75,37,177,NA
408,女,70代以上,1,110,0,16680,910,200,0,8500,1500,1260,200,500,100,2350,200,1200,1,1,254,NA,27,107,3,106,1,342,1,344,41
409,男,60代,1,200,1730,8580,480,0,0,0,0,670,400,880,400,2830,0,1490,9,14,NA,NA,NA,NA,203,14,14,79,9,NA,9
410,男,10代以下,1,430,820,9200,1460,1000,0,0,900,1060,550,1640,560,1900,0,800,5,5,27,NA,NA,356,65,141,45,52,45,NA,192
411,男,10代以下,1,500,2250,8270,650,0,0,0,1000,570,1100,1310,1240,2090,0,800,11,52,NA,NA,NA,52,304,11,52,52,12,NA,198
412,女,30代,1,1250,1420,9150,600,0,0,2500,0,1550,120,860,300,2800,0,500,5,14,NA,NA,108,NA,14,39,39,70,5,NA,77
413,女,50代,0,160,0,1510,390,0,50,0,0,0,500,240,100,370,0,90,7,157,NA,7,NA,NA,NA,142,197,350,106,NA,106
414,男,10代以下,0,0,720,890,640,0,0,0,0,230,0,260,100,300,0,0,16,16,NA,NA,NA,NA,16,NA,39,245,16,NA,NA
415,男,50代,1,260,955,10960,1410,0,350,0,0,1060,610,1830,0,4550,0,1400,8,20,NA,24,NA,NA,45,96,8,NA,13,NA,210
416,女,70代以上,1,1690,2240,16480,1150,1000,0,0,0,1880,3230,1490,1900,3730,750,1500,10,19,254,NA,NA,NA,56,25,19,53,10,38,10
417,女,70代以上,0,670,150,5700,350,0,0,0,0,560,1000,450,400,2350,0,490,25,48,NA,NA,NA,NA,25,99,48,25,35,NA,188
418,女,10代以下,1,650,1010,8210,470,0,300,0,400,120,2620,1550,0,2040,0,600,3,84,NA,265,NA,14,222,146,3,NA,3,NA,359
419,男,20代,0,630,440,4090,1020,0,0,0,0,330,450,1750,460,700,0,400,32,33,NA,NA,NA,NA,167,249,33,32,48,NA,48
420,女,30代,1,360,3090,15800,1400,500,50,0,1100,2170,1160,1140,1380,5240,250,1600,4,4,145,180,NA,164,38,64,48,4,4,20,4
421,女,70代以上,0,0,120,7500,370,0,0,0,1800,0,840,970,1360,2120,0,90,10,33,NA,NA,NA,287,NA,34,10,94,12,NA,159
422,女,60代,0,600,2640,17760,1200,0,0,2000,600,2950,1280,1780,660,5730,250,400,5,26,NA,NA,352,29,26,82,57,21,5,173,115
423,女,10代以下,1,3730,1500,23285,5650,0,105,0,1580,3900,2230,2500,1320,5730,2650,1700,1,5,NA,12,NA,89,9,69,5,91,5,289,161
424,男,10代以下,1,690,2390,14865,2510,0,415,0,600,2000,800,2820,1040,4070,700,1490,7,7,NA,335,NA,224,19,122,102,7,16,19,149
425,女,50代,0,0,320,1950,220,0,0,0,0,120,390,620,600,220,0,0,17,26,NA,NA,NA,NA,179,46,17,56,17,NA,NA
426,男,10代以下,0,0,480,970,110,0,0,0,0,350,300,110,100,110,0,0,82,82,NA,NA,NA,NA,135,167,82,118,236,NA,NA
427,女,60代,1,1350,3250,16340,4500,0,300,0,800,2400,270,2800,1520,6970,0,790,2,12,NA,12,NA,91,2,18,12,37,12,NA,164
428,男,30代,1,1060,1910,16070,1560,0,0,0,900,1140,480,2980,200,5940,750,1190,1,6,NA,NA,NA,100,6,306,23,133,3,1,127
429,男,60代,1,320,1740,16290,1780,0,0,3000,0,1120,1270,3850,900,3910,0,1590,9,17,NA,NA,162,NA,20,59,17,9,44,NA,80
430,女,10代以下,1,360,320,10730,1120,0,0,1000,1200,1390,250,1410,540,3430,250,800,12,16,NA,NA,128,349,16,12,53,100,16,283,105
431,女,10代以下,1,100,2210,17170,2530,0,450,0,560,3170,1420,2110,1540,3940,0,2980,15,20,NA,101,NA,22,28,15,28,20,20,NA,15
432,女,10代以下,0,420,860,6830,770,0,0,0,0,490,1620,930,960,770,0,1500,8,8,NA,NA,NA,NA,53,30,8,70,55,NA,48
433,男,50代,0,240,0,7540,720,6000,0,0,0,810,0,370,120,240,0,0,53,53,290,NA,NA,NA,78,NA,53,275,145,NA,NA
434,女,40代,0,100,810,2520,360,0,0,0,500,330,330,360,0,400,0,600,18,18,NA,NA,NA,274,44,33,18,NA,44,NA,246
435,男,30代,1,1150,1730,16910,2550,0,0,0,180,1190,2070,2930,440,4950,250,4900,19,53,NA,NA,NA,296,19,77,53,89,22,251,118
436,男,70代以上,1,1100,2020,16040,2150,1200,600,0,2600,1840,1180,2880,300,4510,0,400,5,8,8,210,NA,67,5,5,8,75,6,NA,167
437,女,10代以下,1,530,1120,9440,1800,900,0,0,3400,1490,720,770,100,1810,0,90,11,11,249,NA,NA,11,11,130,27,33,11,NA,350
438,男,30代,1,0,720,5160,900,0,0,0,900,1200,250,810,320,1400,0,180,20,20,NA,NA,NA,87,77,223,20,77,30,NA,105
439,女,20代,1,2020,1230,19250,1710,750,350,0,1080,1410,3650,3810,220,2750,1630,2700,1,1,305,125,NA,172,54,62,1,62,1,26,124
440,男,70代以上,1,250,2070,2300,950,0,0,0,0,350,0,920,0,1030,0,0,16,16,NA,NA,NA,NA,16,NA,28,NA,20,NA,NA
441,男,60代,0,8230,1830,16350,2110,0,0,7500,500,2320,630,1830,460,2120,0,600,1,32,NA,NA,326,77,24,124,1,32,10,NA,32
442,女,10代以下,1,3670,1630,13620,2720,2000,0,0,1400,1220,1880,2540,580,2840,180,390,10,10,336,NA,NA,307,10,106,33,76,11,107,182
443,女,10代以下,1,240,1180,6900,2570,0,0,0,0,1020,120,1750,720,2240,180,0,1,1,NA,NA,NA,NA,1,298,15,27,21,261,NA
444,男,70代以上,0,740,1320,14450,1130,0,0,0,700,820,1110,1170,1020,6790,0,2080,7,8,NA,NA,NA,235,80,61,8,112,7,NA,149
445,男,30代,0,200,0,1660,120,0,0,0,0,480,200,120,0,260,0,600,21,77,NA,NA,NA,NA,126,321,77,NA,21,NA,21
446,女,60代,1,460,1660,21750,1540,3000,330,1000,780,1340,1100,1550,620,6280,1100,3480,1,1,215,114,297,64,5,5,1,64,3,5,5
447,男,60代,1,120,130,6250,660,0,0,0,0,610,600,2260,300,1110,0,990,1,1,NA,NA,NA,NA,1,245,19,71,63,NA,152
448,女,30代,1,0,730,2610,220,0,0,0,0,100,120,120,100,1120,0,600,26,26,NA,NA,NA,NA,207,208,26,132,43,NA,56
449,女,30代,1,1260,1410,18300,3000,1150,300,0,2000,2770,500,2480,600,7240,250,300,8,8,342,12,NA,63,14,82,8,125,14,307,103
450,女,30代,1,1420,440,12370,1940,0,0,0,1100,1530,0,1920,540,4480,610,1900,13,39,NA,NA,NA,106,39,NA,13,18,13,137,93
451,男,40代,1,200,250,4475,870,0,55,0,200,1260,200,590,240,1930,0,0,1,28,NA,19,NA,28,71,311,28,36,1,NA,NA
452,男,20代,1,1700,1380,18010,3410,1000,0,0,1600,2750,1530,3680,1400,3810,0,1490,4,4,162,NA,NA,186,4,6,4,107,16,NA,27
453,男,10代以下,1,3740,750,16650,1000,2150,350,1000,4700,1150,250,1090,1400,2360,950,690,2,2,147,88,324,39,2,314,17,24,123,220,123
454,女,40代,0,700,0,5520,740,0,0,0,200,470,1630,860,200,1190,360,0,5,29,NA,NA,NA,360,13,122,29,5,183,263,NA
455,男,70代以上,1,200,710,4470,630,0,0,0,0,980,0,1090,100,1350,0,390,1,10,NA,NA,NA,NA,1,NA,10,60,70,NA,137
456,女,30代,0,0,0,2910,870,0,0,0,0,210,0,920,0,1100,200,0,38,256,NA,NA,NA,NA,55,NA,38,NA,55,90,NA
457,男,20代,1,2370,2910,18330,1760,0,0,0,2100,1590,970,2210,2080,7860,200,270,4,4,NA,NA,NA,113,13,113,4,33,4,197,4
458,男,60代,0,0,400,660,110,0,0,0,200,0,0,110,100,250,0,0,187,215,NA,NA,NA,194,NA,NA,215,276,187,NA,NA
459,女,60代,0,860,900,10310,980,0,0,0,0,920,2550,800,0,4810,0,1100,6,25,NA,NA,NA,NA,48,130,25,NA,6,NA,53
460,男,60代,0,150,590,3170,380,0,0,0,0,100,380,250,0,1980,0,300,17,29,NA,NA,NA,NA,29,64,17,NA,17,NA,130
461,女,20代,1,1330,5410,16950,2860,0,0,0,1700,700,150,3640,340,6400,1750,1700,7,12,NA,NA,NA,213,49,208,12,158,7,38,90
462,男,30代,1,2890,3070,22330,2500,0,0,0,1800,2230,1720,6750,580,6610,0,1580,6,32,NA,NA,NA,47,92,34,30,84,6,NA,23
463,男,60代,1,710,0,6020,250,0,0,2500,0,370,0,120,0,1700,0,600,56,80,NA,NA,80,NA,56,NA,254,NA,87,NA,317
464,女,70代以上,1,400,110,4340,350,0,0,0,0,460,500,520,120,1110,540,800,18,18,NA,NA,NA,NA,18,73,79,41,40,266,269
465,女,10代以下,1,2120,1650,13710,2080,0,0,2000,1200,1610,1200,1690,420,4050,0,580,5,20,NA,NA,5,39,105,102,20,182,65,NA,232
466,男,30代,1,1040,720,12720,950,0,0,0,2600,620,2340,1140,0,3790,950,1280,2,2,NA,NA,NA,164,2,56,2,NA,2,272,53
467,女,70代以上,1,520,680,10970,1040,0,0,0,1600,940,1830,680,120,2360,1660,1380,1,118,NA,NA,NA,204,57,1,129,317,57,31,36
468,男,70代以上,0,2010,930,12100,1520,0,0,0,0,2080,200,2230,120,2880,250,3900,7,7,NA,NA,NA,NA,7,314,33,12,12,291,95
469,男,70代以上,1,200,4490,26050,2980,2000,0,5000,700,3520,1550,3200,1120,6580,0,900,7,10,284,NA,37,235,7,52,7,18,10,NA,100
470,男,40代,0,870,780,6590,1790,0,0,0,0,1580,0,740,0,3000,0,800,9,16,NA,NA,NA,NA,16,NA,20,NA,16,NA,185
471,女,50代,0,1280,2360,19950,2440,0,650,0,2200,1410,2710,2970,780,7800,180,1090,6,14,NA,102,NA,13,6,6,14,69,6,359,107
472,男,30代,1,1320,1590,28170,3210,0,410,10000,3800,2160,0,2480,820,4940,430,1190,3,3,NA,48,155,156,10,NA,3,91,68,39,77
473,男,30代,1,3580,5430,15530,1480,200,0,0,0,1050,1770,2290,520,5200,0,3890,11,41,11,NA,NA,NA,49,90,49,41,50,NA,180
474,男,40代,1,2230,2280,24750,1930,0,120,5500,1300,2080,1280,4060,520,6370,500,2090,5,18,NA,147,93,56,25,121,8,39,5,97,71
475,男,50代,0,1630,3360,19040,5380,0,50,0,1800,1810,330,4270,1000,7340,400,1780,5,5,NA,296,NA,92,29,134,5,217,34,306,36
476,男,60代,0,400,860,11930,1180,2900,0,0,0,1050,180,860,1320,2700,0,2190,9,34,173,NA,NA,NA,9,64,42,106,16,NA,16
477,男,50代,1,1730,1700,14755,1050,0,55,1000,1500,1260,820,1080,440,6490,0,1700,4,4,NA,75,310,12,42,115,4,29,42,NA,103
478,女,30代,0,530,1040,9130,1240,0,240,0,300,630,1570,1420,580,1660,0,2100,2,2,NA,278,NA,83,114,47,2,70,47,NA,47
479,男,20代,1,1440,910,10810,1690,0,0,0,1200,1180,890,1300,320,4240,180,900,4,4,NA,NA,NA,248,4,63,7,81,4,331,81
480,男,60代,1,340,260,17300,2080,0,450,0,1080,2010,330,2580,540,7730,0,390,3,5,NA,104,NA,147,3,138,3,130,3,NA,55
481,女,10代以下,1,0,360,7120,2160,0,0,0,600,2100,270,1760,120,1410,700,0,1,16,NA,NA,NA,47,16,100,17,29,29,1,NA
482,男,60代,1,1080,5500,27840,3940,5900,120,0,500,2820,400,2590,940,10370,0,1290,6,6,53,244,NA,208,6,104,17,94,10,NA,210
483,男,20代,0,1220,250,6410,1050,0,0,0,1200,1060,370,760,0,2220,200,600,20,54,NA,NA,NA,219,54,79,20,NA,47,54,222
484,女,60代,1,3650,2140,28950,1440,200,0,0,12000,1860,1900,4270,580,4030,450,2390,16,28,101,NA,NA,72,17,31,22,173,16,131,96
485,女,50代,1,2960,4400,24350,2210,4000,0,0,1380,1930,1970,2590,460,8540,990,600,11,30,216,NA,NA,196,11,28,33,102,28,121,42
486,男,40代,0,120,120,2650,840,0,0,0,0,100,0,840,0,1710,0,0,95,95,NA,NA,NA,NA,242,NA,95,NA,114,NA,NA
487,女,30代,1,2420,17660,23060,1740,1600,0,0,4400,3150,1050,3520,440,5600,1000,1190,2,29,214,NA,NA,219,8,53,17,2,2,213,2
488,男,50代,0,720,110,6210,560,600,0,0,0,1190,0,1900,100,1320,0,390,8,8,319,NA,NA,NA,183,NA,8,100,97,NA,97
489,男,30代,1,1980,1440,16190,2240,1600,0,0,4100,1380,420,1180,1660,4530,0,800,6,13,297,NA,NA,169,6,234,23,51,13,NA,238
490,男,40代,1,0,0,2820,240,0,0,0,0,600,180,510,100,1430,0,0,2,2,NA,NA,NA,NA,164,229,2,243,2,NA,NA
491,女,40代,1,0,1000,4630,1670,0,0,0,180,600,120,1410,100,1400,0,500,4,4,NA,NA,NA,128,154,107,4,155,93,NA,164
492,女,60代,1,0,200,250,130,0,0,0,0,250,0,0,0,0,0,0,136,339,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA
493,女,30代,0,760,480,18650,3120,0,0,0,1400,2230,1010,1690,700,7160,200,870,3,3,NA,NA,NA,124,3,3,16,13,8,349,3
494,男,70代以上,0,2450,1360,16290,1830,1000,410,0,0,1840,0,4510,1460,5400,0,700,5,16,126,15,NA,NA,56,NA,16,26,5,NA,26
495,男,60代,1,370,560,9320,1290,3000,0,2500,0,640,150,910,0,1970,0,0,5,5,54,NA,167,NA,5,146,6,NA,5,NA,NA
496,男,20代,1,920,1190,23230,3460,1800,0,0,300,2510,3440,2250,900,10130,0,500,3,23,15,NA,NA,278,23,53,3,23,3,NA,144
497,女,30代,0,240,0,14480,540,0,0,0,5100,1470,650,970,220,3740,250,1600,3,90,NA,NA,NA,173,160,90,22,4,3,60,63
498,男,70代以上,1,1110,2290,11330,1460,0,120,0,1200,1610,380,1880,120,4730,0,90,6,22,NA,304,NA,339,52,251,22,342,26,NA,61
499,女,60代,1,3610,2450,19710,1190,1000,110,1000,1200,2590,1940,2330,340,6720,200,1600,12,43,53,80,116,104,39,73,47,94,39,335,12
500,女,70代以上,0,330,2490,13340,470,0,120,0,2200,1280,480,720,420,5100,500,1580,4,14,NA,113,NA,22,8,56,4,14,8,59,75
501,男,20代,0,0,0,3100,670,0,0,0,1400,120,200,670,100,610,0,0,31,133,NA,NA,NA,189,31,280,133,48,31,NA,NA
502,男,50代,0,130,340,1820,130,0,0,0,0,220,0,130,0,950,0,0,53,198,NA,NA,NA,NA,53,NA,198,NA,53,NA,NA
504,女,70代以上,1,500,0,890,390,0,0,0,0,0,0,390,0,500,0,0,209,209,NA,NA,NA,NA,NA,NA,209,NA,334,NA,NA
505,女,70代以上,0,660,400,2900,500,0,0,0,0,130,450,710,100,1110,0,400,26,26,NA,NA,NA,NA,26,83,93,229,93,NA,105
506,男,50代,0,600,0,3530,580,0,0,0,0,940,0,780,100,930,0,500,7,36,NA,NA,NA,NA,58,NA,36,75,7,NA,198
507,男,60代,0,0,0,520,0,0,0,0,0,0,130,140,0,0,250,0,8,NA,NA,NA,NA,NA,NA,8,129,NA,NA,263,NA
508,女,70代以上,0,0,0,4680,510,0,0,0,0,610,750,510,240,2160,250,0,7,14,NA,NA,NA,NA,34,95,14,144,7,12,NA
509,男,60代,0,130,440,2330,120,0,0,0,0,240,120,920,100,220,0,600,19,363,NA,NA,NA,NA,177,134,19,109,19,NA,337
510,男,10代以下,1,0,420,2110,130,200,0,0,0,0,0,330,0,460,0,400,5,87,18,NA,NA,NA,NA,NA,87,NA,5,NA,18
511,男,10代以下,1,910,180,1950,910,0,0,0,0,1150,0,340,0,460,0,0,47,312,NA,NA,NA,NA,47,NA,191,NA,57,NA,NA
512,女,30代,0,0,0,500,120,0,0,0,0,120,0,140,120,120,0,0,20,20,NA,NA,NA,NA,168,NA,95,20,117,NA,NA
513,女,50代,0,0,0,120,0,0,0,0,0,0,0,0,120,0,0,0,123,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA
514,男,10代以下,0,0,130,550,0,0,0,0,0,0,0,0,0,150,0,400,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12
515,男,50代,1,790,110,2745,630,0,55,0,0,870,0,310,0,1510,0,0,19,19,NA,190,NA,NA,19,NA,321,NA,34,NA,NA
516,女,70代以上,0,340,880,3430,220,0,110,0,0,220,750,240,500,1210,0,400,3,308,NA,103,NA,NA,54,3,320,103,36,NA,163
517,女,70代以上,0,0,0,3890,1370,0,0,0,0,1370,600,360,120,880,0,300,5,5,NA,NA,NA,NA,5,21,21,77,34,NA,34
518,女,10代以下,1,400,0,1520,360,0,0,0,0,200,540,510,0,150,0,0,26,86,NA,NA,NA,NA,26,152,86,NA,169,NA,NA
520,女,30代,0,220,0,12500,110,0,0,9000,0,550,600,110,0,650,1000,590,15,42,NA,NA,299,NA,15,342,42,NA,20,110,121
521,女,70代以上,0,140,0,2070,370,900,0,0,0,0,0,220,200,460,0,0,38,38,150,NA,NA,NA,NA,NA,53,150,53,NA,NA
522,女,60代,0,180,480,1920,0,0,0,0,0,230,0,140,200,610,180,400,71,NA,NA,NA,NA,NA,165,NA,79,71,138,327,363
523,女,10代以下,1,3420,990,7610,890,0,300,3000,600,120,850,490,240,1700,180,0,45,45,NA,248,310,268,248,178,45,167,45,283,NA
524,男,10代以下,0,1220,540,6320,1640,1000,200,0,0,960,0,1750,220,2190,0,0,13,37,310,253,NA,NA,13,NA,37,219,18,NA,NA
526,男,10代以下,0,0,390,620,0,0,0,0,0,500,0,0,0,120,0,0,173,NA,NA,NA,NA,NA,173,NA,NA,NA,179,NA,NA
527,女,60代,1,0,0,4590,1620,0,0,0,0,440,600,1400,460,1430,0,0,7,25,NA,NA,NA,NA,7,289,25,100,7,NA,NA
528,男,30代,0,1440,390,8895,750,0,55,0,0,100,2520,1090,0,4690,0,0,42,68,NA,236,NA,NA,236,42,68,NA,42,NA,NA
529,男,60代,1,1400,660,3190,0,0,300,0,0,240,1520,120,0,600,250,0,158,NA,NA,271,NA,NA,161,158,282,NA,240,282,NA
530,女,10代以下,0,0,0,2210,490,0,0,0,0,380,560,230,0,220,0,0,14,14,NA,NA,NA,NA,56,173,14,NA,91,NA,NA
531,女,10代以下,1,600,490,6540,150,0,0,0,2100,360,360,600,1200,380,0,1000,2,39,NA,NA,NA,139,195,70,49,45,2,NA,2
